source,target
4296801949,4216336108
4296801949,60130148233
4296801949,1360567458
4296801949,1185561069
4296801949,60564323032
4296801949,5492629643
4296801949,3111637287
4296801949,526505204
4296801949,3111325797
4296801949,1757398286
4296801949,2184806429
4296801949,3523902566
4296801949,455107983
4296801949,1691520848
4296801949,5823511756
4296801949,1423540587
4296801949,351093167
4296801949,1971856229
4296801949,632474385
4296801949,5717787348
4296801949,1183852452
4296801949,3873948569
4296801949,831749573
4296801949,1487802253
4296801949,2036553871
4296801949,4276045899
4296801949,6881067533
4296801949,2949966271
4296801949,2060580891
4296801949,270799055
4296801949,40015908607
4296801949,3519938091
4296801949,3254135430
4296801949,1706799442
4296801949,1766416077
4296801949,1510667160
4296801949,2413041123
4296801949,2321841495
4296801949,7822163690
4296801949,33501330799
4296801949,1446996757
4296801949,3196482949
4296801949,17572954808
4296801949,3068221073
4296801949,3936841800
4296801949,7938847332
4296801949,2120931215
4296801949,11576916679
4296801949,21131679723
4296801949,2530396894
4296801949,39902130678
4296801949,1650881288
4296801949,12790425643
4296801949,3651217247
4296801949,1540516584
4296801949,1535424305
4296801949,1542652666
4296801949,1612210072
4296801949,2930423159
4296801949,3031757302
4296801949,2084068007
4296801949,5756226419
4296801949,1393878515
4296801949,1706182323
4296801949,62808281239
4296801949,4253158058
4296801949,3140416806
4296801949,1446896462
4296801949,599290048
4296801949,423423757
4296801949,5336241580
4296801949,2147382118
4296801949,37129779530
4296801949,372139717
4296801949,3976361787
4296801949,1956688747
4296801949,1220551179
4296801949,2071111316
4296801949,1707577661
4296801949,1935874240
4296801949,1918342547
4296801949,3545895116
4296801949,8079083246
4296801949,6090490534
4296801949,2299917507
4296801949,3499802108
4296801949,40694624775
4296801949,5954044256
4296801949,3575395535
4296801949,2775724229
4296801949,1599537938
4296801949,1699787123
4296801949,2152921601
4296801949,1937248783
4296801949,2632577820
4296801949,1246722650
4296801949,646588842
4296801949,3160768272
4296801949,4473638732
4296801949,3524337566
4296801949,3179815402
4296801949,976603975
4296801949,1369763138
4296801949,1926778710
4296801949,37817593
4296801949,247950559
4296801949,2254832457
4296801949,26094057
4296801949,559903865
4296801949,16190928591
4296801949,7147226227
4296801949,3268591954
4296801949,4865244293
4296801949,2014163315
4296801949,1444544330
4296801949,1492671304
4296801949,2055254553
4296801949,1782089870
4296801949,12904602928
4296801949,348676055
4296801949,2914703093
4296801949,11922581109
4296801949,1498467916
4296801949,769793009
4296801949,1732697620
4296801949,2353555222
4296801949,49486902791
4296801949,2011787459
4296801949,1147072557
4296801949,1524763536
4296801949,3234532469
4296801949,534677045
4296801949,32199693
4296801949,642637012
4296801949,1511983297
4296801949,43083021692
4296801949,2053248363
4296801949,30807908458
4296801949,2153143024
4296801949,1493339753
4296801949,43058894911
4296801949,13486110413
4296801949,53313126194
4296801949,33668131029
4296801949,3471621276
4296801949,49058689599
4296801949,557820637
4296801949,4623182002
4296801949,1530936290
4296801949,43481025852
4296801949,1377493452
4296801949,21707832565
4296801949,1531917691
4296801949,4310241192
4296801949,2259723705
4296801949,47872603005
4296801949,9235480006
4296801949,2865742724
4296801949,1441260340
4296801949,1490430532
4296801949,1550939358
4296801949,682460713
4296801949,13070754855
4296801949,41158802914
4296801949,54338315937
4296801949,2289918895
4296801949,1995907342
4296801949,9388657165
4296801949,1726439564
4296801949,2226901285
4296801949,38309399421
4296801949,37329803328
4296801949,6165845813
4296801949,21993790661
4296801949,4082961713
4296801949,39642397842
4296801949,48132146777
4296801949,21481503660
4296801949,1450362402
4296801949,1115218499
4296801949,54319355830
4296801949,8047255712
4296801949,6281781824
4296801949,3232735118
4296801949,262246000
4296801949,3251544927
4296801949,1495218422
4296801949,27979280422
4296801949,7737677635
4296801949,3252818468
4296801949,46179156155
4296801949,1148298879
4296801949,17693366191
4296801949,53108997018
4296801949,42383944563
4296801949,704566506
4296801949,3173705362
60130148233,4296801949
60130148233,1360567458
60130148233,3111637287
60130148233,526505204
60130148233,1757398286
60130148233,3523902566
60130148233,455107983
60130148233,1691520848
60130148233,3873948569
60130148233,831749573
60130148233,4276045899
60130148233,2060580891
60130148233,40015908607
60130148233,1510667160
60130148233,2530396894
60130148233,62808281239
60130148233,3160768272
60130148233,3524337566
60130148233,2014163315
60130148233,1444544330
60130148233,2353555222
60130148233,534677045
60130148233,53614362541
60130148233,64577179028
60130148233,326011800
60130148233,1314710735
60130148233,668193731
60130148233,26692714867
60130148233,32459224
60130148233,42972815
60130148233,17849203067
60130148233,182853161
60130148233,477329433
60130148233,59287395092
60130148233,57266719820
60130148233,2010676928
60130148233,57091439145
60130148233,62711173704
60130148233,668193731
60130148233,2115094717
